"refPalme","number","RefID","Journal","Research.area","Title","Population","Animal.Group","immunoassay","Parallelism.reporting","Graph","Graph.type","Stats","Stats.type","DilutionLin","Stats.group","Stats.group.KF"
"1806",1,"https://doi.org/10.3390/ani12010075","Animals","Behavioral & Welfare Science","Non-Invasive Assessment of the Seasonal Stress Response to Veterinary Procedures and Transportation of Zoo-Housed Lesser Anteater (Tamandua tetradactyla)","Wildlife","Xenarthra","EIA","Prev","","","","","","No stats",""
"1801",2,"https://doi.org/10.1007/s00114-022-01792-y","The Science of Nature","Reproduction & Physiology","Temporal stability of fecal cortisol metabolites in mountain‑dwelling ungulates","Wildlife","Artiodactyla","EIA","Prev","","","","","","No stats",""
"1842",3,"https://onlinelibrary.wiley.com/doi/epdf/10.1111/mms.12877","Marine Mammal sciecne","Ecology & Conservation","Stressed and slim or relaxed and chubby? A simultaneous assessment of gray whale body condition and hormone variability.","Wildlife","Cetacea","EIA","Prev","","","","","","No stats",""
"1796",4,"https://doi.org/10.1007/s00442-021-05078-4","Oecologia","Ecology & Conservation","Potential endocrine correlation with exposure to domoic acid in Southern Right Whale (Eubalaena australis) at the Península Valdés breeding ground","Wildlife","Cetacea","EIA","Yes","Y","sigmoid curve (x-axis log transformed)","Y","F-test","N","Equality of slopes","Equality of slopes"
"1843",5,"https://www.nature.com/articles/s41598-022-14510-5","Nature Scientific reports","Ecology & Conservation","Effects of vessel traffic and ocean","Wildlife","Cetacea","EIA","Prev","","","","","","No stats",""
"1841",6,"https://doi.org/10.3390/ani12060672","Animals","Reproduction & Physiology","The adrenal cortisol response to increasing ambient temperature in polar bears (Ursus maritimus).","Wildlife","Carnivora","EIA","Yes","Y","Table","N","","N","No stats",""
"1804",7,"https://doi.org/10.3390/jzbg3030026","Journal of Zoological and Botanical Gardens,","Behavioral & Welfare Science","Comparing Space Use and Fecal Glucocorticoid Concentrations during and after the COVID-19 Closure to Investigate Visitor Effects in Multiple Species","Wildlife","Artiodactyla/Carnivora","RIA","Prev","","","","","","No stats",""
"1872",8,"https://doi.org/10.1093/conphys/coac009","Conservation Physiology","Ecology & Conservation","Physiological acclimation of elk during population restoration in the Missouri Ozarks, USA","Wildlife","Artiodactyla","RIA","Prev","","","","","","No stats",""
"1862",9,"https://doi.org/10.1038/s41598-022-25733-x","Scientific Reports","Ecology & Conservation","Assessing the drivers of gut microbiome composition in wild redfronted lemurs via longitudinal metacommunity analysis.","Wildlife","Primates","EIA","Prev","","","","","","No stats",""
"1814",10,"https://doi.org/10.1016/j.yhbeh.2022.105108","Hormones and Behavior","Reproduction & Physiology","Integrating the female masculinization and challenge hypotheses: Female dominance, male deference, and seasonal hormone fluctuations in adult blue-eyed black lemurs (Eulemur flavifrons)","Wildlife","Primates","RIA","Prev","","","","","","No stats",""
"1876",11,"https://doi.org/10.1371/journal.pone.0271409","Plos ONE","Behavioral & Welfare Science","The Animal-Visitor Interaction Protocol (AVIP) for the assessment of Lemur catta walk-in enclosure in zoos","Wildlife","Primates","EIA","No","","","","","","No stats",""
"1889",12,"https://doi.org/10.1186/s40168-021-01223-6","Microbiome","Ecology & Conservation","Drivers of gut microbiome variation within and between groups of a wild Malagasy primate.","Wildlife","Primates","EIA","Prev","","","","","","No stats",""
"1817",13,"https://doi.org/10.3389/fnbeh.2022.901425","Frontiers in Behavioral Neuroscience","Neuroscience & Biomedical Research","Prophylactic action of ayahuasca in a non-human primate model of depressive-like behavior.","Laboratory Animals","Primates","EIA","No","","","","","","No stats",""
"1781",14,"https://doi.org/10.1016/j.ygcen.2022.114109","General and Comparative Endocrinology,","Reproduction & Physiology","Using an on-site laboratory for fecal steroid analysis in wild white-faced capuchins.","Wildlife","Primates","EIA","Yes","Y","sigmoid curve (x-axis log transformed)","Y","ANOVA ","N","Equality of slopes","Equality of slopes"
"1901",15,"https://doi.org/10.1038/s41598-022-04986-6","Scientific Reports","Neuroscience & Biomedical Research","Endogenous cortisol correlates with performance under pressure on a working memory task in capuchin monkeys.","Laboratory Animals","Primates","EIA","Yes","Y","Table","Y","Pearson's chi_square","Y","Dilution linearity","Dilution linearity"
"1855",16,"https://doi.org/10.3389/fevo.2022.863242","Frontiers in Ecology and Evolution","Ecology & Conservation","Environmental stress and the Primate microbiome: Glucocorticoids contribute to structure gut bacterial communities of black howler monkeys in anthropogenically disturbed forest fragments.","Wildlife","Primates","EIA","Prev","","","","","","No stats",""
"1789",17,"https://doi.org/10.1098/rspb.2022.0464","Proceedings of the Royal Society","Ecology & Conservation","Co-variation between glucocorticoids,behaviour and immunity supports thepace-of-life syndrome hypothesis:an experimental approach","Wildlife","Artiodactyla","EIA","Prev","","","","","","No stats",""
